"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"dermamnist","microsoft/rad-dino","[]","[]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","dermamnist"
"pneumoniamnist","microsoft/rad-dino","[]","[]","[]","{}","identity","identity","identity",""
"pneumoniamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","identity","identity","identity",""
"pneumoniamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","pneumoniamnist"
"pathmnist","microsoft/rad-dino","[]","[]","[]","{}","identity","identity","identity",""
"pathmnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","pathmnist"
"cifar100","microsoft/rad-dino","[]","[]","[]","{}","identity","identity","identity",""
"cifar100","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","cifar100"
"dermamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","pneumoniamnist"
"dermamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","pathmnist"
"dermamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","cifar100"
"pneumoniamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","dermamnist"
"pneumoniamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","pathmnist"
"pneumoniamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","linear","identity","identity","cifar100"
